Food Name,Category,Veg/Non-Veg,Food Type,Tags,Calories (kcal),Protein (g),Carbs (g),Fat (g)
Masala Dosa - Region 1,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 1,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 1,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 1,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 1,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 1,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 1,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 1,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 1,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 1,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 1,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 1,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 1,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 1,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 1,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 1,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 1,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 1,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 1,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 2,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 2,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 2,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 2,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 2,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 2,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 2,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 2,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 2,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 2,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 2,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 2,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 2,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 2,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 2,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 2,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 2,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 2,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 2,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 3,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 3,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 3,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 3,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 3,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 3,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 3,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 3,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 3,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
Palak Paneer - Region 3,Lunch,Veg,Healthy,"North Indian, Paneer",220,12,10,16
Chole Bhature - Region 3,Breakfast,Veg,Fast Food,"Punjabi, Chickpea",450,10,50,20
Vada Pav - Region 3,Snack,Veg,Fast Food,"Maharashtrian, Spicy",300,6,40,10
Rasgulla - Region 3,Dessert,Veg,Homely,"Bengali, Sweet",150,4,30,2
Gulab Jamun - Region 3,Dessert,Veg,Homely,"North Indian, Sweet",175,4,35,5
Fish Curry - Region 3,Dinner,Non-Veg,Homely,"South Indian, Seafood",300,25,10,15
Pav Bhaji - Region 3,Dinner,Veg,Fast Food,"Maharashtrian, Spicy",400,8,45,15
Dhokla - Region 3,Snack,Veg,Healthy,"Gujarati, Steamed",150,5,25,3
Puran Poli - Region 3,Dessert,Veg,Homely,"Maharashtrian, Sweet",200,6,35,5
Bhindi Masala - Region 3,Lunch,Veg,Healthy,"North Indian, Homely",180,4,15,10
Masala Dosa - Region 4,Breakfast,Veg,Healthy,"South Indian, Dosa",206,5,32,7
Butter Chicken - Region 4,Dinner,Non-Veg,Homely,"Punjabi, Chicken",490,25,15,35
Paneer Tikka - Region 4,Starter,Veg,Homely,"Tandoor, Paneer",280,14,8,22
Aloo Paratha - Region 4,Breakfast,Veg,Homely,"Punjabi, Paratha",270,6,36,10
Chicken Biryani - Region 4,Lunch,Non-Veg,Fast Food,"Biryani, Chicken",550,22,65,20
Idli - Region 4,Breakfast,Veg,Healthy,"South Indian, Steamed",120,2,24,1
Samosa - Region 4,Snack,Veg,Fast Food,"North Indian, Fried",260,4,32,12
Rajma Chawal - Region 4,Lunch,Veg,Homely,"Punjabi, Rice",320,12,50,5
Mutton Rogan Josh - Region 4,Dinner,Non-Veg,Homely,"Kashmiri, Mutton",430,28,10,32
